title,authors,year,source,paper,citations no.
Analytical Approaches to Social Movement Culture: The Culture of the Women's,"V Taylor, N Whittier",1995.0,https://books.google.com/books?hl=en&lr=lang_en&id=tYD7AQAAQBAJ&oi=fnd&pg=PA163&dq=martial+arts&ots=HKNcVabo-6&sig=MjbJCfB2CphrTpkxgALKHmo-sr0,https://www.academia.edu/download/35139104/33449424-Social-Movements-Culture.pdf#page=174,576
War as I knew it,"GS Patton, PD Harkins",1995.0,https://books.google.com/books?hl=en&lr=lang_en&id=2A4BPpDQTfcC&oi=fnd&pg=PR11&dq=martial+arts&ots=r6ncihTdwq&sig=8cq_iHoVkzOcmoqs-z4Vgc3vUyo,,574
"The enemies within: intergenomic conflict, interlocus contest evolution (ICE), and the intraspecific Red Queen","WR Rice, B Holland",1997.0,https://link.springer.com/article/10.1007/s002650050357,https://www.csus.edu/faculty/h/holland/docs/Puplications/Rice_Holland_97_BES.pdf,568
"Efficacy of Tai Chi, brisk walking, meditation, and reading in reducing mental and emotional stress",P Jin,1992.0,https://www.sciencedirect.com/science/article/abs/pii/002239999290072A,,560
Concussion in sports: guidelines for the prevention of catastrophic outcome,"JP Kelly, JS Nichols, CM Filley, KO Lillehei…",1991.0,https://jamanetwork.com/journals/jama/article-abstract/393493,,522
Validation of the Minnesota leisure time physical activity questionnaire in Spanish men,"R Elosua, J Marrugat, L Molina, S Pons…",1994.0,https://academic.oup.com/aje/article-abstract/139/12/1197/141115,,513
Rape as a Weapon of War,C Card,1996.0,https://www.cambridge.org/core/journals/hypatia/article/rape-as-a-weapon-of-war/2F42393EE0421D6049692FE09C18EE68,,504
"Acute injuries in soccer, ice hockey, volleyball, basketball, judo, and karate: analysis of national registry data","UM Kujala, S Taimela, I Antti-Poika, S Orava…",1995.0,https://www.bmj.com/content/311/7018/1465.abstract,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2543722/pdf/bmj00621-0023.pdf,499
"Body talk: Male athletes reflect on sport, injury, and pain","K Young, P White, W McTeer",1994.0,https://journals.humankinetics.com/view/journals/ssj/11/2/article-p175.xml,https://scholars.wlu.ca/cgi/viewcontent.cgi?article=1005&context=kppe_faculty,492
Leisure-related social support and self-determination as buffers of stress-illness relationship,"SE Iso-Ahola, CJ Park",1996.0,https://www.tandfonline.com/doi/abs/10.1080/00222216.1996.11949769,https://www.nrpa.org/globalassets/journals/jlr/1996/volume-28/jlr-volume-28-number-3-pp-169-187.pdf,470
"Motivational climate, psychological responses, and motor skill development in children's sport: A field-based intervention study","M Theeboom, P De Knop…",1995.0,https://journals.humankinetics.com/view/journals/jsep/17/3/article-p294.xml,https://www.researchgate.net/profile/Marc-Theeboom/publication/232512566_Motivational_Climate_Psychological_Responses_and_Motor_Skill_Development_in_Children's_Sport_A_Field-Based_Intervention_Study/links/0c96052bd57685cbd8000000/Motivational-Climate-Psychological-Responses-and-Motor-Skill-Development-in-Childrens-Sport-A-Field-Based-Intervention-Study.pdf,469
Police use of deadly force: Research and reform,JJ Fyfe,1988.0,https://www.tandfonline.com/doi/abs/10.1080/07418828800089691,https://www.tandfonline.com/doi/pdf/10.1080/07418828800089691,453
Classifiers as a reflection of mind,G Lakoff,1986.0,https://www.torrossa.com/gs/resourceProxy?an=5000920&publisher=FZ4850#page=22,https://escholarship.org/content/qt65t327t6/qt65t327t6.pdf,450
Frequency-dependent maintenance of left handedness in humans,"M Raymond, D Pontier…",1996.0,https://royalsocietypublishing.org/doi/abs/10.1098/rspb.1996.0238,http://www.talmudology.com/s/Frequency-dependent-m-aintenance-of-left-handedness-in-humans.pdf,444
Changing metaphors and beliefs: A master switch for teaching?,K Tobin,1990.0,https://www.tandfonline.com/doi/pdf/10.1080/00405849009543442,https://www.tandfonline.com/doi/pdf/10.1080/00405849009543442,434
Body image and steroid use in male bodybuilders,"AG Blouin, GS Goldfield",1995.0,https://onlinelibrary.wiley.com/doi/abs/10.1002/1098-108X(199509)18:2%3C159::AID-EAT2260180208%3E3.0.CO;2-3,,433
Real knockouts: The physical feminism of women's self-defense,M McCaughey,1997.0,https://books.google.com/books?hl=en&lr=lang_en&id=dgpDyR9Ww-QC&oi=fnd&pg=PR7&dq=martial+arts&ots=P0p0u5Hjpc&sig=caq9tbHA3dCagDphGYlm_dFoN4U,,419
Martial arts training: A novel “cure” for juvenile delinquency,ME Trulson,1986.0,https://journals.sagepub.com/doi/abs/10.1177/001872678603901204,http://www.samuraischool.net/michael_trulson.pdf,405
The erotic ontology of cyberspace,M Heim,1991.0,https://www.northampton.edu/Documents/Subsites/HaroldWeiss/Modern%20Philosophy/Heim7.doc,https://www.northampton.edu/Documents/Subsites/HaroldWeiss/Modern%20Philosophy/Heim7.doc,399
Public modernity in India,"A Appadurai, C Breckenridge",1995.0,https://books.google.com/books?hl=en&lr=lang_en&id=t6Wbnd7XgbIC&oi=fnd&pg=PA1&dq=martial+arts&ots=fDkwYA1qeK&sig=n13amuZF3AJWXhze1ca-drsZRGQ,,398
"Cognitive tempo, violent video games, and aggressive behavior in young boys","AR Irwin, AM Gross",1995.0,https://link.springer.com/article/10.1007/BF02110997,,360
"The body, self-cultivation, and ki-energy",Y Yuasa,1993.0,https://books.google.com/books?hl=en&lr=lang_en&id=Tgcq9WxYq-cC&oi=fnd&pg=PR9&dq=martial+arts&ots=FD0qgO6NRw&sig=1-mj1AWNCI9I7BMWllEQRy-VC5c,,342
Exploring the basis for Tai Chi Chuan as a therapeutic exercise approach,"SL Wolf, C Coogler, T Xu",1997.0,https://www.sciencedirect.com/science/article/pii/S0003999397902069,http://www.taichifuture.com/uploads/4/6/3/7/46373393/overall_non_specific_benefits.pdf,325
Invariant features for 3-D gesture recognition,"LW Campbell, DA Becker…",1996.0,https://ieeexplore.ieee.org/abstract/document/557258/,,320
"The"" China threat"" issue: Major arguments",D Roy,1996.0,https://www.jstor.org/stable/2645437,,319
Issues in the treatment of posttraumatic stress in children and adolescents,"RS Pynoos, K Nader",1993.0,https://link.springer.com/chapter/10.1007/978-1-4615-2820-3_46,,317
The temporary autonomous zone,H Bey,1991.0,http://www.nothuman.net/images/files/discussion/4/1f4609db896c42e22863758a65c52dbe.pdf,http://www.nothuman.net/images/files/discussion/4/1f4609db896c42e22863758a65c52dbe.pdf,310
The effect of video games on feelings of aggression,D Scott,1995.0,https://www.tandfonline.com/doi/abs/10.1080/00223980.1995.9914952,,301
The psychological reality of the body schema: a test with normal participants.,"CL Reed, MJ Farah",1995.0,https://psycnet.apa.org/doiLanding?doi=10.1037/0096-1523.21.2.334,https://www1.cmc.edu/pages/faculty/clreed/images/pdfs/ReedFarah%20bs%20xhp%2005.pdf,297
The myth of the ADD child,T Armstrong,1997.0,http://davis-method.narod.ru/50strategies.pdf,http://davis-method.narod.ru/50strategies.pdf,294
Information technologies and the police,PK Manning,1992.0,https://www.journals.uchicago.edu/doi/abs/10.1086/449197,,293
Powerplay: Toys as popular culture,D Fleming,1996.0,https://books.google.com/books?hl=en&lr=lang_en&id=U3u7AAAAIAAJ&oi=fnd&pg=PA1&dq=martial+arts&ots=OWhlMCKoIR&sig=IoKFwN5mtv2dlVBeDW1BgP1pq5A,,287
The relationship between diet and bone mineral content of multiple skeletal sites in elderly Japanese-American men and women living in Hawaii,"K Yano, LK Heilbrun, RD Wasnich…",1985.0,https://academic.oup.com/ajcn/article-abstract/42/5/877/4692054,,286
Mentor Teacher Programs. What Resarch Says to the Teacher.,SJ Odell,1990.0,https://eric.ed.gov/?id=ED323185,https://files.eric.ed.gov/fulltext/ED323185.pdf,282
Common protective movements govern unexpected falls from standing height,"ET Hsiao, SN Robinovitch",1997.0,https://www.sciencedirect.com/science/article/pii/S0021929097001140,http://www.biomechanics.ru/lib/files/31_0001.pdf,279
Dojo: Magic and exorcism in modern Japan,W Davis,1980.0,https://books.google.com/books?hl=en&lr=lang_en&id=ZDyALg_a3I4C&oi=fnd&pg=PA1&dq=martial+arts&ots=ZP6LyJjVch&sig=Qnfa2bqLB-CDJ_URUyn0XI1QJf0,,276
Injuries in high-risk persons and high-risk sports: a longitudinal study of 1818 school children,"FJG Backx, HJM Beijer, E Bol…",1991.0,https://journals.sagepub.com/doi/abs/10.1177/036354659101900206,,269
Go with your feelings: Hong Kong and Taiwan popular culture in Greater China,TB Gold,1993.0,https://www.cambridge.org/core/journals/china-quarterly/article/go-with-your-feelings-hong-kong-and-taiwan-popular-culture-in-greater-china/DF64A167E65A9B30EFFE5B28C6CF37E2,,269
Tao of jeet kune do,"B Lee, Ž Modrić",1975.0,https://www.alfaomega.es/media/pdf/ficha_9444.pdf,,267
The epidemiology of sports and exercise related injury in the United Kingdom.,"JP Nicholl, P Coleman, BT Williams",1995.0,https://bjsm.bmj.com/content/29/4/232.short,https://bjsm.bmj.com/content/bjsports/29/4/232.full.pdf,267
Worldwide trends in youth sport,"P De Knop, LM Engstroem, B Skirstad, MR Weiss",1996.0,https://www.researchgate.net/profile/Xiaolin-Yang-12/publication/255670550_Youth_sport_in_Finland/links/561f82bf08ae70315b54f799/Youth-sport-in-Finland.pdf,https://www.researchgate.net/profile/Xiaolin-Yang-12/publication/255670550_Youth_sport_in_Finland/links/561f82bf08ae70315b54f799/Youth-sport-in-Finland.pdf,262
Participant observation in violent social contexts,J Sluka,1990.0,https://meridian.allenpress.com/human-organization/article-abstract/49/2/114/72329,https://www.researchgate.net/profile/Jeffrey-Sluka-2/publication/272480962_Participant-Observation_in_Violent_Social_Contexts/links/571e904408aeaced7889e4c8/Participant-Observation-in-Violent-Social-Contexts.pdf,262
Sexual murder,D Grubin,1994.0,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/sexual-murder/8103F8B8BCEB58BF829BBDF4B90CB5CB,,242
"Tough enough and woman enough: Stereotypes, discrimination, and impression management among women professional boxers",C Halbert,1997.0,https://journals.sagepub.com/doi/abs/10.1177/019372397021001002,,241
Children who witness the sexual assaults of their mothers,"RS Pynoos, K Nader",1988.0,https://www.sciencedirect.com/science/article/pii/S089085670965807X,,239
Story‐telling for social change,S Razack,1993.0,https://www.tandfonline.com/doi/abs/10.1080/0954025930050104,,228
Karate-dō Kyōhan: The Master Text,G Funakoshi,1973.0,https://books.google.com/books?hl=en&lr=lang_en&id=YSkQGC4wteAC&oi=fnd&pg=PR7&dq=martial+arts&ots=dEp16ng5hG&sig=EYKo88mJxyCszaX_HrCQ9kRssSo,,224
Martial arts and psychological health,JR Fuller,1988.0,https://bpspsychub.onlinelibrary.wiley.com/doi/abs/10.1111/j.2044-8341.1988.tb02794.x,,220
"Safe conduct: Women, crime, and self in public places",CB Gardner,1990.0,https://academic.oup.com/socpro/article-abstract/37/3/311/1655038,,217
Examination of the effects of traditional and modern martial arts training on aggressiveness,"TA Nosanchuk, MLC MacNeil",1989.0,https://onlinelibrary.wiley.com/doi/abs/10.1002/1098-2337(1989)15:2%3C153::AID-AB2480150203%3E3.0.CO;2-V,,217
Youth sports in America: An overview.,"VD Seefeldt, ME Ewing",1997.0,https://eric.ed.gov/?id=ED413324,https://files.eric.ed.gov/fulltext/ED413324.pdf,206
The way of the warrior: The effects of traditional martial arts training on aggressiveness,TA Nosanchuk,1981.0,https://journals.sagepub.com/doi/abs/10.1177/001872678103400601,,206
The holistic alternative to scientific medicine: History and analysis,"HS Berliner, JW Salmon",1980.0,https://journals.sagepub.com/doi/abs/10.2190/XWR6-5QPX-GEGE-5GWR,,203
"Individual, group and seishin: Japan's internal cultural debate",B Moeran,1984.0,https://www.jstor.org/stable/2802280,,202
Heterosexuality as an organizing principle in women's sport,LJ Kolnes,1995.0,https://journals.sagepub.com/doi/abs/10.1177/101269029503000104,,198
An analysis of consumer loyalty to municipal recreation programs,"SW Selin, DR Howard, E Udd, TT Cable",1988.0,https://www.tandfonline.com/doi/abs/10.1080/01490408809512191,https://www.tandfonline.com/doi/pdf/10.1080/01490408809512191,193
Sexuality and femininity in sport contexts: Issues and alternatives,HJ Lenskyi,1994.0,https://journals.sagepub.com/doi/pdf/10.1177/019372394018004005,,193
Psychotherapeutic aspects of the martial arts,"M Weiser, I Kutz, SJ Kutz…",1995.0,https://psychotherapy.psychiatryonline.org/doi/abs/10.1176/appi.psychotherapy.1995.49.1.118,,192
Lower extremity muscular flexibility in long distance runners,"SS Wang, SL Whitney, RG Burdett…",1993.0,https://www.jospt.org/doi/abs/10.2519/jospt.1993.17.2.102,https://www.jospt.org/doi/pdf/10.2519/jospt.1993.17.2.102,188
An architecture for multiple perspective interactive video,"PH Kelly, A Katkere, DY Kuramura, S Moezzi…",1995.0,https://dl.acm.org/doi/fullHtml/10.1145/217279.215267,https://dl.acm.org/doi/fullHtml/10.1145/217279.215267,187
Karate-do: My way of life,G Funakoshi,1981.0,,https://www.koreankarate.com.au/assets/pdf/Karate-do.pdf,186
Effect of participation in taekwondo on college women's self-concept,ME Finkenberg,1990.0,https://journals.sagepub.com/doi/abs/10.2466/pms.1990.71.3.891,,185
"Capoeira: a Brazilian art form: history, philosophy, and practice",B Almeida,1993.0,,,184
Genre film: A classical experience,T Sobchack,1975.0,https://www.jstor.org/stable/43795619,,178
Leisure activities of adolescent school students: Predictors of participation and interest,"AF Garton, C Pratt",1991.0,https://onlinelibrary.wiley.com/doi/abs/10.1016/0140-1971(91)90023-K,,176
Taking families seriously,JL Nelson,1992.0,https://onlinelibrary.wiley.com/doi/abs/10.2307/3563016,,173
The development of self-esteem through the martial arts.,"CL Richman, H Rehberg",1986.0,https://psycnet.apa.org/record/1987-34108-001,,173
Contemporary psychoanalysis and Eastern thought,JR Suler,1993.0,https://books.google.com/books?hl=en&lr=lang_en&id=LomcTi9f1IEC&oi=fnd&pg=PR9&dq=martial+arts&ots=L-6QFdOZrZ&sig=avvoXKz5iSQI-yaVHPa5E1DraHY,https://www.academia.edu/download/37940088/paradox.pdf,172
The juku phenomenon: An exploratory essay,TP Rohlen,1980.0,https://www.jstor.org/stable/132321,,170
Understanding the use of force by and against the police,J Garner,1996.0,https://books.google.com/books?hl=en&lr=lang_en&id=cpXaAAAAMAAJ&oi=fnd&pg=PA3&dq=martial+arts&ots=RuttIVu66E&sig=Zixi4H3wIhHj2YMXLjg8G5ggJgs,https://books.google.com/books?hl=en&lr=lang_en&id=cpXaAAAAMAAJ&oi=fnd&pg=PA3&dq=martial+arts&ots=RuttIVu66E&sig=Zixi4H3wIhHj2YMXLjg8G5ggJgs,168
Habituation and dishabituation to speech and office noise.,"S Banbury, DC Berry",1997.0,https://psycnet.apa.org/journals/xap/3/3/181/,,167
"Show/down time:“Race,”; gender, sexuality, and popular culture",TK Nakayama,1994.0,https://www.tandfonline.com/doi/pdf/10.1080/15295039409366893,,164
"Women, sport and physicality: Preliminary findings from a Canadian study",K Young,1997.0,https://journals.sagepub.com/doi/pdf/10.1177/1012690297032003006,,162
The Bhagavad-Gita: Krishnas's Counsel in Time of War,BS Miller,1986.0,,,161
Behavioral fluency: A new paradigm,C Binder,1993.0,https://www.jstor.org/stable/44428106,http://binde1.verio.com/wb_fluency.org/Publications/Binder1993.pdf,161
Cognitive versus generative linguistics: How commitments influence results,G Lakoff,1990.0,https://escholarship.org/content/qt2tj4t3cw/qt2tj4t3cw.pdf,https://escholarship.org/content/qt2tj4t3cw/qt2tj4t3cw.pdf,159
Chinese borrowings in English,G Cannon,1988.0,https://www.jstor.org/stable/455420,,159
Race and the Subject of Masculinities,"H Stecopoulos, M Uebel",1997.0,https://books.google.com/books?hl=en&lr=lang_en&id=6o8mjm8YnmgC&oi=fnd&pg=PP11&dq=martial+arts&ots=HpKH9rsP_8&sig=CJzawgxi7F42CbsYT-k9J9kV3Lc,,159
Social space and symbolic space [1994],P Bourdieu,1991.0,https://books.google.com/books?hl=en&lr=lang_en&id=I_x-pc2SJX0C&oi=fnd&pg=PA323&dq=martial+arts&ots=_DaqZpd4Zy&sig=FK_oufQgiZUAJnu3D0VNLqTfbZg,,158
The Atlanta FICSIT study: two exercise interventions to reduce frailty in elders,"SL Wolf, NG Kutner, RC Green…",1993.0,https://agsjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1532-5415.1993.tb06713.x,https://www.genomes2people.org/wp-content/uploads/2020/02/19930301_Other_JAmGerSoc_Wolf_AtlantaFICSIT.pdf,157
Dynamics of the martial arts high front kick,"HS⊘ rensen, M Zacho, EB Simonsen…",1996.0,https://www.tandfonline.com/doi/abs/10.1080/02640419608727735,,156
Perspective on the bully-victim-bystander relationship,"SW Twemlow, FC Sacco, P Williams",1996.0,https://www.researchgate.net/profile/Stuart-Twemlow/publication/14320396_A_Clinical_and_interactionist_perspective_on_the_bullyvictimbystander_relationship/links/09e41510ef47cb2f4f000000/A-Clinical-and-interactionist-perspective-on-the-bully-victim-bystander-relationship.pdf,https://www.researchgate.net/profile/Stuart-Twemlow/publication/14320396_A_Clinical_and_interactionist_perspective_on_the_bullyvictimbystander_relationship/links/09e41510ef47cb2f4f000000/A-Clinical-and-interactionist-perspective-on-the-bully-victim-bystander-relationship.pdf,154
Hong Kong action cinema,B Logan,1996.0,,,154
The task and ego orientation in sport questionnaire: Construct equivalence and mean differences across gender,"F Li, P Harmer, A Acock",1996.0,https://www.tandfonline.com/doi/abs/10.1080/02701367.1996.10607949,,153
Trauma epidemiology in the martial arts: the results of an eighteen-year international survey,RB Birrer,1996.0,https://journals.sagepub.com/doi/abs/10.1177/036354659602406S21,,152
Chinese masculinity: theorizing Wen and Wu [An earlier version of this paper was presented at a seminar at the University of Queensland (1994).],"L Edwards, K Louie",1994.0,https://search.informit.org/doi/pdf/10.3316/ielapa.961009530,,150
Injury rates during the 1988 US Olympic Team Trials for taekwondo.,"ED Zemper, W Pieter",1989.0,https://bjsm.bmj.com/content/23/3/161.short,https://bjsm.bmj.com/content/bjsports/23/3/161.full.pdf,149
Beyond the politics of place: New directions in community organizing in the 1990s,G Delgado,1994.0,,,148
Universals: Studies in Indian logic and linguistics,"F Staal, JF Staal",1988.0,https://books.google.com/books?hl=en&lr=lang_en&id=7IqsyNmt8XYC&oi=fnd&pg=PR7&dq=martial+arts&ots=9GxPzu5qSY&sig=QWfQ23CUUc3wdpsu_L2oj0LfUsw,,146
Participation rates in new religious and para-religious movements,"F Bird, B Reimer",1982.0,https://www.jstor.org/stable/1385565,,145
Social reproduction and the corporate other: The institutionalization of afterschool activities,"PA Adler, P Adler",1994.0,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1533-8525.1994.tb00412.x,,145
Comprehensive Asian fighting arts,"DF Draeger, RW Smith",1980.0,https://books.google.com/books?hl=en&lr=lang_en&id=_o73NOjb4p4C&oi=fnd&pg=PA7&dq=martial+arts&ots=cGHlY_FV2i&sig=9_Xn0pp-gRkUqaYtYZXjXYxysx8,,144
An analysis of the relationship between hostility and training in the martial arts,"K Daniels, EW Thornton",1990.0,https://www.tandfonline.com/doi/abs/10.1080/02640419008732137,,143
Aggressive behavior as a function of taekwondo ranking,"DL Skelton, MA Glynn, SM Berta",1991.0,https://journals.sagepub.com/doi/abs/10.2466/pms.1991.72.1.179,,142
Lost T'ai-chi Classics from the Late Ch'ing Dynasty,D Wile,1996.0,https://books.google.com/books?hl=en&lr=lang_en&id=GdU8dJSpQokC&oi=fnd&pg=PR1&dq=martial+arts&ots=vi4WyLj96X&sig=3pBN97rVWdG9ZXV1MYQJdacIM_A,,142
Tranquilizing effect of color reduces aggressive behavior and potential violence,AG Schauss,1979.0,https://www.jumpjet.info/Emergency-Preparedness/Disaster-Mitigation/Civil/Tranquilizing_Effect_of_Color.pdf,https://www.jumpjet.info/Emergency-Preparedness/Disaster-Mitigation/Civil/Tranquilizing_Effect_of_Color.pdf,140
"Gender, leisure and sport: a case-study of young people of South Asian descent","B Carrington, T Chivers, T Williams",1987.0,https://www.tandfonline.com/doi/abs/10.1080/02614368700390211,,138
Test development for the study of physical performance in wrestlers following weight loss,"RC Hickner, CA Horswill, JM Welker…",1991.0,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-2007-1024733,,136
Ethno-behaviorism and the culture-bound syndromes: The case of amok,JE Carr,1978.0,https://link.springer.com/article/10.1007/BF00051007,,133
Regulation of muscle glycogen phosphorylase activity following short-term endurance training,"A Chesley, GJ Heigenhauser…",1996.0,https://journals.physiology.org/doi/abs/10.1152/ajpendo.1996.270.2.e328,https://www.researchgate.net/profile/Lawrence-Spriet/publication/14422789_Regulation_of_glycogen_phosphorylase_activity_following_short-term_endurance_training/links/5750242b08aeb753e7b4a2b4/Regulation-of-glycogen-phosphorylase-activity-following-short-term-endurance-training.pdf,132
"The Road to Armageddon: The Martial Spirit in English Popular Literature, 1870-1914",CD Eby,1987.0,https://books.google.com/books?hl=en&lr=lang_en&id=Vxwl2V9U5VwC&oi=fnd&pg=PP13&dq=martial+arts&ots=cX2mpIKlKk&sig=TIWI8zrWyA3OIuWW-G_xgAOrc4A,,132
Thoracic injury potential of basic competition taekwondo kicks,"ER Serina, DK Lieu",1991.0,https://www.sciencedirect.com/science/article/pii/002192909190173K,,132
Anthropometric somatotype of Italian sport participants.,"E Gualdi-Russo, I Graziani",1993.0,https://europepmc.org/article/med/8107482,,130
"Development and psychometric validation of the mental, physical, and spiritual well-being scale","DA Vella-Brodrick, FCL Allen",1995.0,https://journals.sagepub.com/doi/abs/10.2466/pr0.1995.77.2.659,,127
"Sport, masculinity, and the injured body","PGWH ITE, K NG",1995.0,https://books.google.com/books?hl=en&lr=lang_en&id=Ygt1AwAAQBAJ&oi=fnd&pg=PA158&dq=martial+arts&ots=F1Nu5a-R8V&sig=YQm4iBc3vxt6fCdFUEAzmKy_Q2c,,127
Use of the suture anchor in open Bankart reconstruction: A follow-up report,"WN Levine, JC Richmond…",1994.0,https://journals.sagepub.com/doi/abs/10.1177/036354659402200525,,126
"Interculturalism, postmodernism, pluralism",D Chin,1989.0,https://www.jstor.org/stable/3245434,,125
First lecture. Social space and symbolic space: introduction to a Japanese reading of distinction,"P Bourdieu, G Sapiro, B McHale",1991.0,https://www.jstor.org/stable/1772705,,124
Counseling and psychotherapy with Japanese Americans: Cross‐cultural considerations,AJ Marsella,1993.0,https://onlinelibrary.wiley.com/doi/abs/10.1037/h0079431,,123
Models of games education,"P Werner, L Almond",1990.0,https://www.tandfonline.com/doi/pdf/10.1080/07303084.1990.10606501,,123
Sociocultural perspectives on aging and physical activity,BD McPherson,1994.0,https://journals.humankinetics.com/view/journals/japa/2/4/article-p329.xml,,122
Zen in the art of rhetoric: An inquiry into coherence,ML McPhail,1996.0,https://books.google.com/books?hl=en&lr=lang_en&id=tQCTS_OvRCEC&oi=fnd&pg=PP11&dq=martial+arts&ots=mGnxOyk_Va&sig=AyhYJcbwrzgGpvpTNhwB3rsKGTs,,122
Martial arts training and mental health: An exercise in self-help,"B Konzak, F Boudreau",1984.0,,,121
Psychological determinants of adolescent exercise adherence,VL Douthitt,1994.0,https://search.proquest.com/openview/7ffd809a1cd16939cb82c9fcf9e5a33e/1?pq-origsite=gscholar&cbl=41539,,120
Spirituality: Transformation and metamorphosis,AS King,1996.0,https://www.sciencedirect.com/science/article/pii/S0048721X96900287,,118
Asian fighting arts,"DF Draeger, RW Smith",1969.0,,,118
Changing care staff approaches to the prevention and management of aggressive behaviour in a residential treatment unit for persons with mental retardation and …,"D Allen, L McDonald, C Dunn, T Doyle",1997.0,https://www.sciencedirect.com/science/article/pii/S0891422296000431,,117
