title,authors,year,source,paper,citations no.
Mxnet: A flexible and efficient machine learning library for heterogeneous distributed systems,"T Chen, M Li, Y Li, M Lin, N Wang, M Wang…",2015,https://arxiv.org/abs/1512.01274,https://arxiv.org/pdf/1512.01274,2118
Adversarial machine learning at scale,"A Kurakin, I Goodfellow, S Bengio",2016,https://arxiv.org/abs/1611.01236,https://arxiv.org/pdf/1611.01236.pdf?ref=https://githubhelp.com,2111
Kernel methods in machine learning,"T Hofmann, B Schölkopf, AJ Smola",2008,https://projecteuclid.org/journals/annals-of-statistics/volume-36/issue-3/Kernel-methods-in-machine-learning/10.1214/009053607000000677.short,https://projecteuclid.org/journals/annals-of-statistics/volume-36/issue-3/Kernel-methods-in-machine-learning/10.1214/009053607000000677.pdf,2109
Federated machine learning: Concept and applications,"Q Yang, Y Liu, T Chen, Y Tong",2019,https://dl.acm.org/doi/abs/10.1145/3298981,https://arxiv.org/pdf/1902.04885,2104
Towards a rigorous science of interpretable machine learning,"F Doshi-Velez, B Kim",2017,https://arxiv.org/abs/1702.08608,https://arxiv.org/pdf/1702.08608?ref=https://githubhelp.com,2069
"The cross-entropy method: a unified approach to combinatorial optimization, Monte-Carlo simulation, and machine learning","RY Rubinstein, DP Kroese",2004,https://link.springer.com/book/10.1007/978-1-4757-4321-0,n/a,2060
Machine learning applications in cancer prognosis and prediction,"K Kourou, TP Exarchos, KP Exarchos…",2015,https://www.sciencedirect.com/science/article/pii/S2001037014000464,https://www.sciencedirect.com/science/article/pii/S2001037014000464,2057
Machine-learning research,TG Dietterich,1997,https://ojs.aaai.org/index.php/aimagazine/article/view/1324,https://ojs.aaai.org/index.php/aimagazine/article/view/1324/1225,2033
Bayesian reasoning and machine learning,D Barber,2012,https://books.google.com/books?hl=en&lr=lang_en&id=yxZtddB_Ob0C&oi=fnd&pg=PR5&dq=machine+learning&ots=A1UFK8aUws&sig=ZimLY-131MsIqF-H998cm2aapaY,n/a,2008
Mllib: Machine learning in apache spark,"X Meng, J Bradley, B Yavuz, E Sparks…",2016,https://www.jmlr.org/papers/volume17/15-237/15-237.pdf,https://www.jmlr.org/papers/volume17/15-237/15-237.pdf,1972
Bioinformatics: the machine learning approach,"P Baldi, S Brunak",2001,https://books.google.com/books?hl=en&lr=lang_en&id=pxSM7R1sdeQC&oi=fnd&pg=PR9&dq=machine+learning&ots=SNIFI6_-Zs&sig=4Xx50VHZyvkayqntldaPUTC4Spc,n/a,1907
Quantum machine learning,"J Biamonte, P Wittek, N Pancotti, P Rebentrost…",2017,https://www.nature.com/articles/nature23474,https://arxiv.org/pdf/1611.09347.pdf?ref=https://githubhelp.com,1867
Gaussian processes for machine learning,"CK Williams, CE Rasmussen",2006,http://newton.cam.ac.uk/files/seminar/20070809140015001-150844.pdf,http://newton.cam.ac.uk/files/seminar/20070809140015001-150844.pdf,1858
Torch7: A matlab-like environment for machine learning,"R Collobert, K Kavukcuoglu…",2011,https://infoscience.epfl.ch/record/192376/files/Collobert_NIPSWORKSHOP_2011.pdf,https://infoscience.epfl.ch/record/192376/files/Collobert_NIPSWORKSHOP_2011.pdf,1823
Multiagent systems: A survey from a machine learning perspective,"P Stone, M Veloso",2000,https://link.springer.com/article/10.1023/A:1008942012299,https://apps.dtic.mil/sti/pdfs/ADA333248.pdf,1821
"Predicting the future—big data, machine learning, and clinical medicine","Z Obermeyer, EJ Emanuel",2016,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5070532/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5070532/,1813
Map-reduce for machine learning on multicore,"CT Chu, S Kim, YA Lin, YY Yu…",2006,https://proceedings.neurips.cc/paper/2006/hash/77ee3bc58ce560b86c2b59363281e914-Abstract.html,https://proceedings.neurips.cc/paper/2006/file/77ee3bc58ce560b86c2b59363281e914-Paper.pdf,1806
Machine learning classifiers and fMRI: a tutorial overview,"F Pereira, T Mitchell, M Botvinick",2009,https://www.sciencedirect.com/science/article/pii/S1053811908012263,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2892746/,1689
Machine learning for molecular and materials science,"KT Butler, DW Davies, H Cartwright, O Isayev, A Walsh",2018,https://www.nature.com/articles/s41586-018-0337-2,https://epubs.stfc.ac.uk/manifestation/44000149/STFC-AAM-2019-065.pdf,1682
Efficient and robust automated machine learning,"M Feurer, A Klein, K Eggensperger…",2015,https://proceedings.neurips.cc/paper/5872-efficient-and-robust-automated-machine-learning,https://proceedings.neurips.cc/paper/2015/file/11d0e6287202fced83f79975ec59a3a6-Paper.pdf,1665
"Machine learning for medical diagnosis: history, state of the art and perspective",I Kononenko,2001,https://www.sciencedirect.com/science/article/pii/S093336570100077X,https://translateyar.ir/wp-content/uploads/2021/09/Machine-learning-for-medical-diagnosis-history-state-of-the-art-and-perspective.pdf,1649
Outside the closed world: On using machine learning for network intrusion detection,"R Sommer, V Paxson",2010,https://ieeexplore.ieee.org/abstract/document/5504793/,https://oakland10.cs.virginia.edu/slides/anomaly-oakland.pdf,1594
Fast and accurate modeling of molecular atomization energies with machine learning,"M Rupp, A Tkatchenko, KR Müller, OA Von Lilienfeld",2012,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.108.058301,https://arxiv.org/pdf/1109.2618,1593
Machine learning for the detection of oil spills in satellite radar images,"M Kubat, RC Holte, S Matwin",1998,https://link.springer.com/article/10.1023/A:1007452223027,https://link.springer.com/content/pdf/10.1023/A:1007452223027.pdf,1560
Automatic differentiation in machine learning: a survey,"AG Baydin, BA Pearlmutter, AA Radul…",2018,https://www.jmlr.org/papers/volume18/17-468/17-468.pdf,https://www.jmlr.org/papers/volume18/17-468/17-468.pdf,1540
Encyclopedia of machine learning,"C Sammut, GI Webb",2011,https://books.google.com/books?hl=en&lr=lang_en&id=i8hQhp1a62UC&oi=fnd&pg=PT29&dq=machine+learning&ots=91nazshG9I&sig=gWrpJjLJNq8lqFhfVjm75UMolB0,n/a,1485
Diannao: A small-footprint high-throughput accelerator for ubiquitous machine-learning,"T Chen, Z Du, N Sun, J Wang, C Wu, Y Chen…",2014,https://dl.acm.org/doi/abs/10.1145/2654822.2541967,https://courses.e-ce.uth.gr/CE432/voh0hmata/bibliographic%20project/papers1/asplos2014%20-%20Chen%20et%20al%20-%20DianNao%20-%20A%20Small-Footprint%20High-Throughput%20Accelerator%20for%20Ubiquitous%20Machine-Learning.pdf,1475
Dadiannao: A machine-learning supercomputer,"Y Chen, T Luo, S Liu, S Zhang, L He…",2014,https://ieeexplore.ieee.org/abstract/document/7011421/,https://pages.saclay.inria.fr/olivier.temam/files/eval/supercomputer.pdf,1471
Machine learning in medicine,RC Deo,2015,https://www.ahajournals.org/doi/abs/10.1161/circulationaha.115.001593,https://www.ahajournals.org/doi/full/10.1161/circulationaha.115.001593,1453
Probabilistic machine learning and artificial intelligence,Z Ghahramani,2015,https://www.nature.com/articles/nature14541,https://www.repository.cam.ac.uk/bitstream/handle/1810/248538/Ghahramani%25202015%2520Nature.pdf?sequence=1,1445
How the machine 'thinks': Understanding opacity in machine learning algorithms,J Burrell,2016,https://journals.sagepub.com/doi/abs/10.1177/2053951715622512,https://journals.sagepub.com/doi/pdf/10.1177/2053951715622512,1438
Deep machine learning-a new frontier in artificial intelligence research [research frontier],"I Arel, DC Rose, TP Karnowski",2010,https://ieeexplore.ieee.org/abstract/document/5605630/,https://www.researchgate.net/profile/Thomas-Karnowski/publication/220438386_Deep_Machine_Learning_-_A_New_Frontier_in_Artificial_Intelligence_Research_Research_Frontier/links/570bb11b08ae8883a1ffd3e1/Deep-Machine-Learning-A-New-Frontier-in-Artificial-Intelligence-Research-Research-Frontier.pdf,1405
Structural health monitoring: a machine learning perspective,"CR Farrar, K Worden",2012,https://books.google.com/books?hl=en&lr=lang_en&id=2w_sp6lersUC&oi=fnd&pg=PP11&dq=machine+learning&ots=E3sjBxKyrs&sig=MlxAFEflSO0BjplKgWGQVN4cgp0,n/a,1381
A review of relational machine learning for knowledge graphs,"M Nickel, K Murphy, V Tresp…",2015,https://ieeexplore.ieee.org/abstract/document/7358050/,https://ieeexplore.ieee.org/ielaam/5/7360840/7358050-aam.pdf,1380
Machine learning: the art and science of algorithms that make sense of data,P Flach,2012,https://books.google.com/books?hl=en&lr=lang_en&id=Ofp4h_oXsZ4C&oi=fnd&pg=PR15&dq=machine+learning&ots=XLtWkkevNV&sig=UBXQNOSJEMta41V4upRACCQrPnw,https://www.programmer-books.com/wp-content/uploads/2018/08/Machine-Learning.pdf,1373
Machine learning applications in genetics and genomics,"MW Libbrecht, WS Noble",2015,https://www.nature.com/articles/nrg3920,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc5204302/,1364
Multimodal machine learning: A survey and taxonomy,"T Baltrušaitis, C Ahuja…",2018,https://ieeexplore.ieee.org/abstract/document/8269806/,https://arxiv.org/pdf/1705.09406,1343
Practical secure aggregation for privacy-preserving machine learning,"K Bonawitz, V Ivanov, B Kreuter, A Marcedone…",2017,https://dl.acm.org/doi/abs/10.1145/3133956.3133982,https://dl.acm.org/doi/pdf/10.1145/3133956.3133982,1338
Weka: A machine learning workbench,"G Holmes, A Donkin, IH Witten",1994,https://ieeexplore.ieee.org/abstract/document/396988/,https://researchcommons.waikato.ac.nz/bitstream/handle/10289/1138/uow-cs-wp-1994-09.pdf?sequence=1,1337
Practical machine learning tools and techniques,"IH Witten, E Frank, MA Hall, CJ Pal, M DATA",2005,https://doc1.bibliothek.li/acb/FLMF040119.pdf,https://doc1.bibliothek.li/acb/FLMF040119.pdf,1325
Explaining explanations: An overview of interpretability of machine learning,"LH Gilpin, D Bau, BZ Yuan, A Bajwa…",2018,https://ieeexplore.ieee.org/abstract/document/8631448.,https://arxiv.org/pdf/1806.00069,1325
Machine learning: an applied econometric approach,"S Mullainathan, J Spiess",2017,https://www.aeaweb.org/articles?id=10.1257/jep.31.2.87,https://pubs.aeaweb.org/doi/pdfplus/10.1257/jep.31.2.87?ref=https://githubhelp.com,1317
Machine learning with R: expert techniques for predictive modeling,B Lantz,2019,https://books.google.com/books?hl=en&lr=lang_en&id=iNuSDwAAQBAJ&oi=fnd&pg=PP1&dq=machine+learning&ots=O86SscbGT0&sig=RomyZ0ZWU6ItMGYZ0f51glQgRQI,https://edu.kpfu.ru/pluginfile.php/278552/mod_resource/content/1/MachineLearningR__Brett_Lantz.pdf,1245
Dataset shift in machine learning,"J Quiñonero-Candela, M Sugiyama, A Schwaighofer…",2008,https://books.google.com/books?hl=en&lr=lang_en&id=qJ0jEAAAQBAJ&oi=fnd&pg=PR9&dq=machine+learning&ots=3wyUP_fbFl&sig=1iyu7zR3mluD8kSHgi3G1mChvc0,n/a,1214
Machine learning in medicine,"A Rajkomar, J Dean, I Kohane",2019,https://www.nejm.org/doi/full/10.1056/NEJMra1814259,https://med.stanford.edu/content/dam/sm/shvca/documents/july-31-ai-homework3.pdf,1178
Machine learning: a review of classification and combining techniques,"SB Kotsiantis, ID Zaharakis, PE Pintelas",2006,https://link.springer.com/article/10.1007/s10462-007-9052-3,https://www.researchgate.net/profile/P-Pintelas/publication/226525180_Machine_learning_A_review_of_classification_and_combining_techniques/links/0fcfd5119227feb83c000000/Machine-learning-A-review-of-classification-and-combining-techniques.pdf,1164
Double/debiased machine learning for treatment and structural parameters,"V Chernozhukov, D Chetverikov, M Demirer, E Duflo…",2018,https://academic.oup.com/ectj/article-abstract/21/1/C1/5056401,https://academic.oup.com/ectj/article/21/1/C1/5056401?login=true,1161
Man vs. computer: Benchmarking machine learning algorithms for traffic sign recognition,"J Stallkamp, M Schlipsing, J Salmen, C Igel",2012,https://www.sciencedirect.com/science/article/pii/S0893608012000457,https://www.ini.rub.de/upload/file/1470692859_c57fac98ca9d02ac701c/stallkampetal_gtsrb_nn_si2012.pdf,1159
Combining satellite imagery and machine learning to predict poverty,"N Jean, M Burke, M Xie, WM Davis, DB Lobell…",2016,https://www.science.org/doi/abs/10.1126/science.aaf7894,https://scholar.archive.org/work/hvolprbfevflbog7aw25cqqrwm/access/wayback/https://science.sciencemag.org/content/sci/353/6301/790.full.pdf,1157
Applications of machine learning in cancer prediction and prognosis,"JA Cruz, DS Wishart",2006,https://journals.sagepub.com/doi/abs/10.1177/117693510600200030,https://journals.sagepub.com/doi/pdf/10.1177/117693510600200030,1144
A survey on bias and fairness in machine learning,"N Mehrabi, F Morstatter, N Saxena, K Lerman…",2021,https://dl.acm.org/doi/abs/10.1145/3457607,https://arxiv.org/pdf/1908.09635,1131
Reconciling schemas of disparate data sources: A machine-learning approach,"AH Doan, P Domingos, AY Halevy",2001,https://dl.acm.org/doi/abs/10.1145/375663.375731,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.21.1104&rep=rep1&type=pdf,1131
MoleculeNet: a benchmark for molecular machine learning,"Z Wu, B Ramsundar, EN Feinberg, J Gomes…",2018,https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a,https://pubs.rsc.org/en/content/articlehtml/2018/sc/c7sc02664a,1123
Machine learning basics,"H Wang, Z Lei, X Zhang, B Zhou, J Peng",2016,http://www.whdeng.cn/Teaching/PPT_01_Machine%20learning%20Basics.pdf,http://www.whdeng.cn/Teaching/PPT_01_Machine%20learning%20Basics.pdf,1120
Machine learning phases of matter,"J Carrasquilla, RG Melko",2017,https://www.nature.com/articles/nphys4035,https://www.nature.com/articles/nphys4035,1106
Adversarial machine learning,"L Huang, AD Joseph, B Nelson…",2011,https://dl.acm.org/doi/abs/10.1145/2046684.2046692,https://archive.ischool.berkeley.edu/tygar/papers/SML2/Adversarial_AISEC.pdf,1102
Secureml: A system for scalable privacy-preserving machine learning,"P Mohassel, Y Zhang",2017,https://ieeexplore.ieee.org/abstract/document/7958569/,https://eprint.iacr.org/2017/396.pdf,1102
Machine learning in agriculture: A review,"KG Liakos, P Busato, D Moshou, S Pearson, D Bochtis",2018,https://www.mdpi.com/327494,https://www.mdpi.com/1424-8220/18/8/2674/pdf,1096
Tensor decomposition for signal processing and machine learning,"ND Sidiropoulos, L De Lathauwer, X Fu…",2017,https://ieeexplore.ieee.org/abstract/document/7891546/,https://ieeexplore.ieee.org/iel7/78/7912413/07891546.pdf,1088
Python machine learning,S Raschka,2015,https://books.google.com/books?hl=en&lr=lang_en&id=GOVOCwAAQBAJ&oi=fnd&pg=PP1&dq=machine+learning&ots=NdcyJbVWWF&sig=xwE4iYIO3Qos3A8VQTGQU3hnmBE,https://raw.githubusercontent.com/rasbt/python-machine-learning-book/master/docs/equations/pymle-equations.pdf,1077
Challenges in representation learning: A report on three machine learning contests,"IJ Goodfellow, D Erhan, PL Carrier, A Courville…",2013,https://link.springer.com/chapter/10.1007/978-3-642-42051-1_16,https://arxiv.org/pdf/1307.0414,1056
Machine learning for neuroimaging with scikit-learn,"A Abraham, F Pedregosa, M Eickenberg…",2014,https://www.frontiersin.org/articles/10.3389/fninf.2014.00014/full,https://www.frontiersin.org/articles/10.3389/fninf.2014.00014/full,1040
Choosing prediction over explanation in psychology: Lessons from machine learning,"T Yarkoni, J Westfall",2017,https://journals.sagepub.com/doi/abs/10.1177/1745691617693393,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6603289/,1036
Automating the construction of internet portals with machine learning,"AK McCallum, K Nigam, J Rennie, K Seymore",2000,https://link.springer.com/article/10.1023/A:1009953814988,http://kamalnigam.com/papers/cora-jnl.pdf,1023
Intrusion detection by machine learning: A review,"CF Tsai, YF Hsu, CY Lin, WY Lin",2009,https://www.sciencedirect.com/science/article/pii/S0957417409004801,http://tarjomefa.com/wp-content/uploads/2017/11/8000-English-TarjomeFa.pdf,1019
Machine learning methods for solar radiation forecasting: A review,"C Voyant, G Notton, S Kalogirou, ML Nivet, C Paoli…",2017,https://www.sciencedirect.com/science/article/pii/S0960148116311648,n/a,1015
Machine learning in action,P Harrington,2012,https://books.google.com/books?hl=en&lr=lang_en&id=XTozEAAAQBAJ&oi=fnd&pg=PT18&dq=machine+learning&ots=pw0fL2MQeh&sig=FktTd5Qc1-DWDrzbBK5jGMJeIE8,n/a,996
Machine learning and the physical sciences,"G Carleo, I Cirac, K Cranmer, L Daudet, M Schuld…",2019,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.91.045002,https://arxiv.org/pdf/1903.10563,981
Graphlab: A new framework for parallel machine learning,"Y Low, JE Gonzalez, A Kyrola, D Bickson…",2014,https://arxiv.org/abs/1408.2041,https://arxiv.org/pdf/1408.2041,974
Gaussian processes for machine learning (GPML) toolbox,"CE Rasmussen, H Nickisch",2010,https://www.jmlr.org/papers/volume11/rasmussen10a/rasmussen10a.pdf?_hstc=200028081.1bb630f9cde2cb5f07430159d50a3c91.1524182400081.1524182400082.1524182400083.1_hssc=200028081.1.1524182400084_hsfp=1773666937,https://www.jmlr.org/papers/volume11/rasmussen10a/rasmussen10a.pdf?_hstc=200028081.1bb630f9cde2cb5f07430159d50a3c91.1524182400081.1524182400082.1524182400083.1_hssc=200028081.1.1524182400084_hsfp=1773666937,963
Machine learning paradigms for next-generation wireless networks,"C Jiang, H Zhang, Y Ren, Z Han…",2016,https://ieeexplore.ieee.org/abstract/document/7792374/,http://www.eng.usf.edu/chen/pdf/2%20IEEE%20WC%202017-4.pdf,939
Can machine learning be secure?,"M Barreno, B Nelson, R Sears, AD Joseph…",2006,https://dl.acm.org/doi/abs/10.1145/1128817.1128824,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.72.4400&rep=rep1&type=pdf,938
Ensemble machine learning: methods and applications,"C Zhang, Y Ma",2012,https://link.springer.com/content/pdf/10.1007/978-1-4419-9326-7.pdf,n/a,934
Improving machine learning approaches to coreference resolution,"V Ng, C Cardie",2002,https://aclanthology.org/P02-1014.pdf,https://aclanthology.org/P02-1014.pdf,919
"Machine learning in wireless sensor networks: Algorithms, strategies, and applications","MA Alsheikh, S Lin, D Niyato…",2014,https://ieeexplore.ieee.org/abstract/document/6805162/,https://arxiv.org/pdf/1405.4463,912
A preliminary performance comparison of five machine learning algorithms for practical IP traffic flow classification,"N Williams, S Zander, G Armitage",2006,https://dl.acm.org/doi/abs/10.1145/1163593.1163596,http://www.caia.swin.edu.au/cv/szander/publications/p5-williams.pdf,912
